bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
25431,24,26.55,0,1,234.37,11.3
22914,54,27.87,1,0,234.37,10.76
9847,44,25.47,0,1,234.37,11.78
13619,55,25.97,0,1,234.37,11.55
21169,51,25.57,1,0,234.38,11.73
21278,61,26.27,0,1,234.38,11.42
23431,61,26.8,1,0,234.38,11.19
13527,46,25.68,0,1,234.38,11.68
29281,38,27.1,0,1,234.4,11.07
20909,61,26.78,1,0,234.42,11.2
21641,46,26.78,1,0,234.42,11.2
30738,34,29.22,0,1,234.42,10.27
20733,52,27.03,1,0,234.42,11.1
21809,52,26.52,1,0,234.43,11.31
26334,35,27.27,1,0,234.43,11.0
23448,57,27.33,1,0,234.43,10.98
30631,31,28.53,0,1,234.43,10.52
23310,68,27.1,0,1,234.43,11.07
27105,37,27.97,0,1,234.43,10.73
24902,24,29.08,1,0,234.43,10.32
25740,42,26.0,0,1,234.45,11.54
19651,55,26.83,0,1,234.45,11.18
18590,38,28.02,1,0,234.45,10.71
23088,50,27.13,1,0,234.45,11.06
17145,35,25.18,1,0,234.47,11.91
32006,38,28.47,0,1,234.47,10.54
23775,59,28.73,1,0,234.47,10.44
29048,51,28.95,0,1,234.47,10.36
26017,32,30.97,0,1,234.47,9.69
20934,47,26.35,1,0,234.47,11.39
20922,49,26.63,1,0,234.47,11.27
31151,37,28.48,0,1,234.48,10.53
22310,69,27.52,0,1,234.48,10.9
17599,57,30.55,0,1,234.48,9.82
16523,58,24.3,0,1,234.48,12.35
22435,58,27.63,1,0,234.5,10.86
21061,55,25.9,1,0,234.5,11.58
18340,59,28.57,1,0,234.5,10.5
23291,56,26.12,1,0,234.52,11.49
21082,63,24.37,0,1,234.52,12.31
19475,41,26.6,1,0,234.53,11.28
22637,60,26.4,0,1,234.53,11.36
27645,34,25.98,0,1,234.53,11.55
18507,38,26.9,1,0,234.57,11.15
20597,60,25.8,0,1,234.57,11.63
14839,58,26.88,0,1,234.57,11.16
22656,56,25.75,1,0,234.58,11.65
19966,66,26.98,0,1,234.58,11.12
23095,51,27.62,1,0,234.58,10.86
26672,54,28.17,0,1,234.58,10.65
21611,59,27.0,1,0,234.6,11.11
17256,39,26.92,1,0,234.6,11.14
